Song Name,Artists,Released Dates,Popularity,Duration,Album Type,Cover Image
"Rabb Khair Kare (From ""Daana Paani"" Soundtrack)",Prabh Gill,2018-04-19,46,184000,single,https://i.scdn.co/image/ab67616d0000b2735c30005b07efd927287a1bea
Ishqaa,Akhil,2019-02-13,35,321004,album,https://i.scdn.co/image/ab67616d0000b273fdf60edf667e751276524fde
Pyar Paun to Pehlan,Labh Heera,2020-07-18,37,256765,album,https://i.scdn.co/image/ab67616d0000b27303a6d19fa3b5e0f47b23f29c
Best Hindi Motivational Poetry 2022,Kumar Rishi,2022-03-07,32,109898,single,https://i.scdn.co/image/ab67616d0000b27330e5ad50fda0ab24af437a77
Temporary pyar,Kaka,2021-09-04,59,245016,single,https://i.scdn.co/image/ab67616d0000b27393a9941be37b24ef10aa49f0
Relation,Nikk,2019-08-30,46,165750,single,https://i.scdn.co/image/ab67616d0000b27353f89966a4fca501360b384e
"Koi Vi Nahi,Dasi Na Mere Bare,Zindagi,Choorhey wali bah",Shirley Setia,2020-02-05,33,434000,single,https://i.scdn.co/image/ab67616d0000b2738662dd7d918afbc3c9bd178d
Udaarian,Satinder Sartaaj,2019-12-20,31,342648,compilation,https://i.scdn.co/image/ab67616d0000b273ae86cf278f97a3e3352bab12
Kaash,Nachhatar Gill,2019-12-20,19,213829,compilation,https://i.scdn.co/image/ab67616d0000b273ae86cf278f97a3e3352bab12
"Kahani (From ""Kahani"")",Lo Jill,2014-04-24,11,194595,compilation,https://i.scdn.co/image/ab67616d0000b273ce9ec0de8ce8721afa7a5a4c
True Love,Rupal J,2019-12-20,11,274311,compilation,https://i.scdn.co/image/ab67616d0000b273ae86cf278f97a3e3352bab12
Mob N Love,Prem Dhillon,2022-04-17,42,202422,single,https://i.scdn.co/image/ab67616d0000b27351d1e7adbf74abce9795fff6
Punjabi Valentine Mashup 2022,Sukh-E Muzical Doctorz,2022-02-14,36,290986,single,https://i.scdn.co/image/ab67616d0000b273bea487790d872591411addfb
In Love Again,Harman Hundal,2021-02-19,54,236129,single,https://i.scdn.co/image/ab67616d0000b273e08201655340ee940826f336
"Zubaan (From ""Manje Bistre 2"")",Ricky Khan,2019-12-20,18,266866,compilation,https://i.scdn.co/image/ab67616d0000b273ae86cf278f97a3e3352bab12
Silent Love,Davy,2022-01-02,33,152307,single,https://i.scdn.co/image/ab67616d0000b273f61e9c48d60761414096d761
Silent Love,Namr Gill,2015-03-17,44,266370,single,https://i.scdn.co/image/ab67616d0000b273ef3a03b0fdf24c33d5ca7983
Zindagi,Amrinder Gill,2016-03-07,45,170666,album,https://i.scdn.co/image/ab67616d0000b2739402b44bc7bdff9dfa8122d9
Ikk Munda 2 - Waiting For Love,Sheera Jasvir,2021-07-04,39,247884,single,https://i.scdn.co/image/ab67616d0000b2730c3255e6ffbb2a1cfab7dcb3
Rabba Ve,B Praak,2019-05-06,51,210000,album,https://i.scdn.co/image/ab67616d0000b273328a29d4ec6c76374c480c24
I Need Love,Harman Hundal,2022-03-04,38,179052,single,https://i.scdn.co/image/ab67616d0000b273242ec8ebd257cc51f53c4ee8
Darling,Sucha Yaar,2021-11-19,45,139836,single,https://i.scdn.co/image/ab67616d0000b27375a0dff177d596ac666fc1e2
Breakup Mashup,Ammy Virk,2019-08-01,40,239880,single,https://i.scdn.co/image/ab67616d0000b27363885514c5d8d2e2634549b7
Romantic Love Mashup (Best of love music),Abhishek Rawal,2022-08-07,39,289123,single,https://i.scdn.co/image/ab67616d0000b273357e00856edd412a59fe734f
Romantic Rewind,Akhil,2022-02-09,38,1084056,single,https://i.scdn.co/image/ab67616d0000b273aa442efd8bb9b3b9521d0549
"Bewafai Kar Gaya - From ""Lekh""",B Praak,2022-03-20,53,228000,single,https://i.scdn.co/image/ab67616d0000b273f69d3e2c88168c9cbfecbf58
Romantic Mashup,Miss Pooja,2020-02-13,38,251280,single,https://i.scdn.co/image/ab67616d0000b273bba7f019bc7fd87904517e2e
Pehla Valentine,Himmat Sandhu,2021-04-30,42,173048,single,https://i.scdn.co/image/ab67616d0000b27360a2c699fae9a68b80c189f1
Valentine Mashup 2022,Akhil,2022-02-14,35,249618,single,https://i.scdn.co/image/ab67616d0000b273b067547333e57bd30cdb5736
Feelingaa,Kay Vee Singh,2019-12-23,36,171007,single,https://i.scdn.co/image/ab67616d0000b2736e1ab5f8852848ad2b90db6e
Love Like Me,Jassa Dhillon,2021-03-22,52,160000,album,https://i.scdn.co/image/ab67616d0000b27362857f70b2c7244833dff65f
Beliya,B Praak,2022-03-25,58,226265,single,https://i.scdn.co/image/ab67616d0000b2730df4bf833ce0015716a81722
Soulmate,Akull,2021-09-07,37,184681,single,https://i.scdn.co/image/ab67616d0000b273a71b5aafbfc9fb2d2ed9241a
"Pyar Karda - From ""Lover""",Jass Manak,2022-05-26,39,211224,single,https://i.scdn.co/image/ab67616d0000b273c31a9ef87338c639a6444551
Daring Love,Varinder Brar,2019-11-01,41,242857,single,https://i.scdn.co/image/ab67616d0000b273e305d898ae14ec999434cb4e
Intense Love,Jack Love,2022-09-14,36,133053,single,https://i.scdn.co/image/ab67616d0000b273c4ca87612c74d9fd45fd5aee
Valentine Mashup 2020,B Praak,2020-02-11,27,185800,single,https://i.scdn.co/image/ab67616d0000b273981632dd129a2ae0a1cfe8a4
"Marke - From ""Lover""",Jass Manak,2022-06-27,36,166833,single,https://i.scdn.co/image/ab67616d0000b273914b03f4b65228bb80d6f980
Intense Love,Chandra Brar,2022-02-01,33,164651,single,https://i.scdn.co/image/ab67616d0000b2731a4d6d007730d4620e3b16e3
Love Mix Remix Mashup,Prabh Gill,2022-04-09,25,285094,single,https://i.scdn.co/image/ab67616d0000b273db403ca729ff11cff27db840
The Ultimate Love Mashup - DJ Kiran Kamath,Jaani,2022-02-08,32,307573,single,https://i.scdn.co/image/ab67616d0000b273d01d9e4587fb7038eceffca1
Bewafai Kar Gaya,B Praak,2022-03-25,39,228000,single,https://i.scdn.co/image/ab67616d0000b2730df4bf833ce0015716a81722
Bewafaai,B Praak,2019-10-22,29,322285,album,https://i.scdn.co/image/ab67616d0000b273f82faacdbdc9a8d269aec55c
Chaal,Lovie Virk,2021-01-06,47,210658,single,https://i.scdn.co/image/ab67616d0000b27314e14a6503fc604ae8c67ddd
Love Forever,Lakhi Ghuman,2021-11-24,37,183079,single,https://i.scdn.co/image/ab67616d0000b273778bcaa30b3668cc50892016
Proposal,Mehtab Virk,2013-06-20,42,273407,album,https://i.scdn.co/image/ab67616d0000b273fc41f00a5aa81b288e15a99e
Fuck Love,Real Boss,2022-03-15,40,162905,single,https://i.scdn.co/image/ab67616d0000b27366b43c623661b09087895ea4
Paagla,Akhil,2021-06-26,46,223783,single,https://i.scdn.co/image/ab67616d0000b273ea87a23a8b8c939acceb5a35
Kasam,Hashmat Sultana,2022-06-29,36,230522,compilation,https://i.scdn.co/image/ab67616d0000b2733a8be0cae8dd8c150c626d2d
Heerey,Amrinder Gill,2016-03-07,44,204978,album,https://i.scdn.co/image/ab67616d0000b2739402b44bc7bdff9dfa8122d9
"Rabb Khair Kare (From ""Daana Paani"" Soundtrack)",Prabh Gill,2018-04-19,46,184000,single,https://i.scdn.co/image/ab67616d0000b2735c30005b07efd927287a1bea
Ishqaa,Akhil,2019-02-13,35,321004,album,https://i.scdn.co/image/ab67616d0000b273fdf60edf667e751276524fde
Pyar Paun to Pehlan,Labh Heera,2020-07-18,37,256765,album,https://i.scdn.co/image/ab67616d0000b27303a6d19fa3b5e0f47b23f29c
Best Hindi Motivational Poetry 2022,Kumar Rishi,2022-03-07,32,109898,single,https://i.scdn.co/image/ab67616d0000b27330e5ad50fda0ab24af437a77
Relation,Nikk,2019-08-30,46,165750,single,https://i.scdn.co/image/ab67616d0000b27353f89966a4fca501360b384e
"Koi Vi Nahi,Dasi Na Mere Bare,Zindagi,Choorhey wali bah",Shirley Setia,2020-02-05,33,434000,single,https://i.scdn.co/image/ab67616d0000b2738662dd7d918afbc3c9bd178d
Udaarian,Satinder Sartaaj,2019-12-20,31,342648,compilation,https://i.scdn.co/image/ab67616d0000b273ae86cf278f97a3e3352bab12
"Kahani (From ""Kahani"")",Lo Jill,2014-04-24,11,194595,compilation,https://i.scdn.co/image/ab67616d0000b273ce9ec0de8ce8721afa7a5a4c
Kaash,Nachhatar Gill,2019-12-20,19,213829,compilation,https://i.scdn.co/image/ab67616d0000b273ae86cf278f97a3e3352bab12
True Love,Rupal J,2019-12-20,11,274311,compilation,https://i.scdn.co/image/ab67616d0000b273ae86cf278f97a3e3352bab12
Mob N Love,Prem Dhillon,2022-04-17,42,202422,single,https://i.scdn.co/image/ab67616d0000b27351d1e7adbf74abce9795fff6
Punjabi Valentine Mashup 2022,Sukh-E Muzical Doctorz,2022-02-14,36,290986,single,https://i.scdn.co/image/ab67616d0000b273bea487790d872591411addfb
In Love Again,Harman Hundal,2021-02-19,54,236129,single,https://i.scdn.co/image/ab67616d0000b273e08201655340ee940826f336
"Zubaan (From ""Manje Bistre 2"")",Ricky Khan,2019-12-20,18,266866,compilation,https://i.scdn.co/image/ab67616d0000b273ae86cf278f97a3e3352bab12
Silent Love,Davy,2022-01-02,33,152307,single,https://i.scdn.co/image/ab67616d0000b273f61e9c48d60761414096d761
Silent Love,Namr Gill,2015-03-17,44,266370,single,https://i.scdn.co/image/ab67616d0000b273ef3a03b0fdf24c33d5ca7983
Zindagi,Amrinder Gill,2016-03-07,45,170666,album,https://i.scdn.co/image/ab67616d0000b2739402b44bc7bdff9dfa8122d9
Ikk Munda 2 - Waiting For Love,Sheera Jasvir,2021-07-04,39,247884,single,https://i.scdn.co/image/ab67616d0000b2730c3255e6ffbb2a1cfab7dcb3
Rabba Ve,B Praak,2019-05-06,51,210000,album,https://i.scdn.co/image/ab67616d0000b273328a29d4ec6c76374c480c24
I Need Love,Harman Hundal,2022-03-04,38,179052,single,https://i.scdn.co/image/ab67616d0000b273242ec8ebd257cc51f53c4ee8
Love,Garry Sandhu,2017-11-21,22,225241,single,https://i.scdn.co/image/ab67616d0000b273de48ccb0c5c22b8b914bb7ce
Darling,Sucha Yaar,2021-11-19,45,139836,single,https://i.scdn.co/image/ab67616d0000b27375a0dff177d596ac666fc1e2
Breakup Mashup,Ammy Virk,2019-08-01,40,239880,single,https://i.scdn.co/image/ab67616d0000b27363885514c5d8d2e2634549b7
Romantic Love Mashup (Best of love music),Abhishek Rawal,2022-08-07,39,289123,single,https://i.scdn.co/image/ab67616d0000b273357e00856edd412a59fe734f
Romantic Rewind,Akhil,2022-02-09,38,1084056,single,https://i.scdn.co/image/ab67616d0000b273aa442efd8bb9b3b9521d0549
"Bewafai Kar Gaya - From ""Lekh""",B Praak,2022-03-20,53,228000,single,https://i.scdn.co/image/ab67616d0000b273f69d3e2c88168c9cbfecbf58
Romantic Mashup,Miss Pooja,2020-02-13,38,251280,single,https://i.scdn.co/image/ab67616d0000b273bba7f019bc7fd87904517e2e
Pehla Valentine,Himmat Sandhu,2021-04-30,42,173048,single,https://i.scdn.co/image/ab67616d0000b27360a2c699fae9a68b80c189f1
Valentine Mashup 2022,Akhil,2022-02-14,35,249618,single,https://i.scdn.co/image/ab67616d0000b273b067547333e57bd30cdb5736
Feelingaa,Kay Vee Singh,2019-12-23,36,171007,single,https://i.scdn.co/image/ab67616d0000b2736e1ab5f8852848ad2b90db6e
Love Like Me,Jassa Dhillon,2021-03-22,52,160000,album,https://i.scdn.co/image/ab67616d0000b27362857f70b2c7244833dff65f
Beliya,B Praak,2022-03-25,58,226265,single,https://i.scdn.co/image/ab67616d0000b2730df4bf833ce0015716a81722
Soulmate,Akull,2021-09-07,37,184681,single,https://i.scdn.co/image/ab67616d0000b273a71b5aafbfc9fb2d2ed9241a
"Pyar Karda - From ""Lover""",Jass Manak,2022-05-26,39,211224,single,https://i.scdn.co/image/ab67616d0000b273c31a9ef87338c639a6444551
Daring Love,Varinder Brar,2019-11-01,41,242857,single,https://i.scdn.co/image/ab67616d0000b273e305d898ae14ec999434cb4e
Intense Love,Jack Love,2022-09-14,36,133053,single,https://i.scdn.co/image/ab67616d0000b273c4ca87612c74d9fd45fd5aee
Valentine Mashup 2020,B Praak,2020-02-11,27,185800,single,https://i.scdn.co/image/ab67616d0000b273981632dd129a2ae0a1cfe8a4
"Marke - From ""Lover""",Jass Manak,2022-06-27,36,166833,single,https://i.scdn.co/image/ab67616d0000b273914b03f4b65228bb80d6f980
Intense Love,Chandra Brar,2022-02-01,33,164651,single,https://i.scdn.co/image/ab67616d0000b2731a4d6d007730d4620e3b16e3
Love Mix Remix Mashup,Prabh Gill,2022-04-09,25,285094,single,https://i.scdn.co/image/ab67616d0000b273db403ca729ff11cff27db840
The Ultimate Love Mashup - DJ Kiran Kamath,Jaani,2022-02-08,32,307573,single,https://i.scdn.co/image/ab67616d0000b273d01d9e4587fb7038eceffca1
Bewafai Kar Gaya,B Praak,2022-03-25,39,228000,single,https://i.scdn.co/image/ab67616d0000b2730df4bf833ce0015716a81722
Bewafaai,B Praak,2019-10-22,29,322285,album,https://i.scdn.co/image/ab67616d0000b273f82faacdbdc9a8d269aec55c
Chaal,Lovie Virk,2021-01-06,47,210658,single,https://i.scdn.co/image/ab67616d0000b27314e14a6503fc604ae8c67ddd
Love Forever,Lakhi Ghuman,2021-11-24,37,183079,single,https://i.scdn.co/image/ab67616d0000b273778bcaa30b3668cc50892016
Proposal,Mehtab Virk,2013-06-20,42,273407,album,https://i.scdn.co/image/ab67616d0000b273fc41f00a5aa81b288e15a99e
Fuck Love,Real Boss,2022-03-15,40,162905,single,https://i.scdn.co/image/ab67616d0000b27366b43c623661b09087895ea4
Paagla,Akhil,2021-06-26,46,223783,single,https://i.scdn.co/image/ab67616d0000b273ea87a23a8b8c939acceb5a35
Kasam,Hashmat Sultana,2022-06-29,36,230522,compilation,https://i.scdn.co/image/ab67616d0000b2733a8be0cae8dd8c150c626d2d
Heerey,Amrinder Gill,2016-03-07,44,204978,album,https://i.scdn.co/image/ab67616d0000b2739402b44bc7bdff9dfa8122d9
"Rabb Khair Kare (From ""Daana Paani"" Soundtrack)",Prabh Gill,2018-04-19,46,184000,single,https://i.scdn.co/image/ab67616d0000b2735c30005b07efd927287a1bea
Ishqaa,Akhil,2019-02-13,35,321004,album,https://i.scdn.co/image/ab67616d0000b273fdf60edf667e751276524fde
Pyar Paun to Pehlan,Labh Heera,2020-07-18,37,256765,album,https://i.scdn.co/image/ab67616d0000b27303a6d19fa3b5e0f47b23f29c
Best Hindi Motivational Poetry 2022,Kumar Rishi,2022-03-07,32,109898,single,https://i.scdn.co/image/ab67616d0000b27330e5ad50fda0ab24af437a77
Relation,Nikk,2019-08-30,46,165750,single,https://i.scdn.co/image/ab67616d0000b27353f89966a4fca501360b384e
"Koi Vi Nahi,Dasi Na Mere Bare,Zindagi,Choorhey wali bah",Shirley Setia,2020-02-05,33,434000,single,https://i.scdn.co/image/ab67616d0000b2738662dd7d918afbc3c9bd178d
Udaarian,Satinder Sartaaj,2019-12-20,31,342648,compilation,https://i.scdn.co/image/ab67616d0000b273ae86cf278f97a3e3352bab12
"Kahani (From ""Kahani"")",Lo Jill,2014-04-24,11,194595,compilation,https://i.scdn.co/image/ab67616d0000b273ce9ec0de8ce8721afa7a5a4c
Kaash,Nachhatar Gill,2019-12-20,19,213829,compilation,https://i.scdn.co/image/ab67616d0000b273ae86cf278f97a3e3352bab12
True Love,Rupal J,2019-12-20,11,274311,compilation,https://i.scdn.co/image/ab67616d0000b273ae86cf278f97a3e3352bab12
Mob N Love,Prem Dhillon,2022-04-17,42,202422,single,https://i.scdn.co/image/ab67616d0000b27351d1e7adbf74abce9795fff6
Punjabi Valentine Mashup 2022,Sukh-E Muzical Doctorz,2022-02-14,36,290986,single,https://i.scdn.co/image/ab67616d0000b273bea487790d872591411addfb
In Love Again,Harman Hundal,2021-02-19,54,236129,single,https://i.scdn.co/image/ab67616d0000b273e08201655340ee940826f336
"Zubaan (From ""Manje Bistre 2"")",Ricky Khan,2019-12-20,18,266866,compilation,https://i.scdn.co/image/ab67616d0000b273ae86cf278f97a3e3352bab12
Silent Love,Davy,2022-01-02,33,152307,single,https://i.scdn.co/image/ab67616d0000b273f61e9c48d60761414096d761
Silent Love,Namr Gill,2015-03-17,44,266370,single,https://i.scdn.co/image/ab67616d0000b273ef3a03b0fdf24c33d5ca7983
Zindagi,Amrinder Gill,2016-03-07,45,170666,album,https://i.scdn.co/image/ab67616d0000b2739402b44bc7bdff9dfa8122d9
Ikk Munda 2 - Waiting For Love,Sheera Jasvir,2021-07-04,39,247884,single,https://i.scdn.co/image/ab67616d0000b2730c3255e6ffbb2a1cfab7dcb3
Rabba Ve,B Praak,2019-05-06,51,210000,album,https://i.scdn.co/image/ab67616d0000b273328a29d4ec6c76374c480c24
I Need Love,Harman Hundal,2022-03-04,38,179052,single,https://i.scdn.co/image/ab67616d0000b273242ec8ebd257cc51f53c4ee8
Love,Garry Sandhu,2017-11-21,22,225241,single,https://i.scdn.co/image/ab67616d0000b273de48ccb0c5c22b8b914bb7ce
Darling,Sucha Yaar,2021-11-19,45,139836,single,https://i.scdn.co/image/ab67616d0000b27375a0dff177d596ac666fc1e2
Breakup Mashup,Ammy Virk,2019-08-01,40,239880,single,https://i.scdn.co/image/ab67616d0000b27363885514c5d8d2e2634549b7
Romantic Love Mashup (Best of love music),Abhishek Rawal,2022-08-07,39,289123,single,https://i.scdn.co/image/ab67616d0000b273357e00856edd412a59fe734f
Romantic Rewind,Akhil,2022-02-09,38,1084056,single,https://i.scdn.co/image/ab67616d0000b273aa442efd8bb9b3b9521d0549
"Bewafai Kar Gaya - From ""Lekh""",B Praak,2022-03-20,53,228000,single,https://i.scdn.co/image/ab67616d0000b273f69d3e2c88168c9cbfecbf58
Romantic Mashup,Miss Pooja,2020-02-13,38,251280,single,https://i.scdn.co/image/ab67616d0000b273bba7f019bc7fd87904517e2e
Pehla Valentine,Himmat Sandhu,2021-04-30,42,173048,single,https://i.scdn.co/image/ab67616d0000b27360a2c699fae9a68b80c189f1
Valentine Mashup 2022,Akhil,2022-02-14,35,249618,single,https://i.scdn.co/image/ab67616d0000b273b067547333e57bd30cdb5736
Feelingaa,Kay Vee Singh,2019-12-23,36,171007,single,https://i.scdn.co/image/ab67616d0000b2736e1ab5f8852848ad2b90db6e
Love Like Me,Jassa Dhillon,2021-03-22,52,160000,album,https://i.scdn.co/image/ab67616d0000b27362857f70b2c7244833dff65f
Soulmate,Akull,2021-09-07,37,184681,single,https://i.scdn.co/image/ab67616d0000b273a71b5aafbfc9fb2d2ed9241a
"Pyar Karda - From ""Lover""",Jass Manak,2022-05-26,39,211224,single,https://i.scdn.co/image/ab67616d0000b273c31a9ef87338c639a6444551
Daring Love,Varinder Brar,2019-11-01,41,242857,single,https://i.scdn.co/image/ab67616d0000b273e305d898ae14ec999434cb4e
Intense Love,Jack Love,2022-09-14,36,133053,single,https://i.scdn.co/image/ab67616d0000b273c4ca87612c74d9fd45fd5aee
Valentine Mashup 2020,B Praak,2020-02-11,27,185800,single,https://i.scdn.co/image/ab67616d0000b273981632dd129a2ae0a1cfe8a4
"Marke - From ""Lover""",Jass Manak,2022-06-27,36,166833,single,https://i.scdn.co/image/ab67616d0000b273914b03f4b65228bb80d6f980
Intense Love,Chandra Brar,2022-02-01,33,164651,single,https://i.scdn.co/image/ab67616d0000b2731a4d6d007730d4620e3b16e3
Love Mix Remix Mashup,Prabh Gill,2022-04-09,25,285094,single,https://i.scdn.co/image/ab67616d0000b273db403ca729ff11cff27db840
The Ultimate Love Mashup - DJ Kiran Kamath,Jaani,2022-02-08,32,307573,single,https://i.scdn.co/image/ab67616d0000b273d01d9e4587fb7038eceffca1
Bewafai Kar Gaya,B Praak,2022-03-25,39,228000,single,https://i.scdn.co/image/ab67616d0000b2730df4bf833ce0015716a81722
Bewafaai,B Praak,2019-10-22,29,322285,album,https://i.scdn.co/image/ab67616d0000b273f82faacdbdc9a8d269aec55c
Chaal,Lovie Virk,2021-01-06,47,210658,single,https://i.scdn.co/image/ab67616d0000b27314e14a6503fc604ae8c67ddd
Love Forever,Lakhi Ghuman,2021-11-24,37,183079,single,https://i.scdn.co/image/ab67616d0000b273778bcaa30b3668cc50892016
Proposal,Mehtab Virk,2013-06-20,42,273407,album,https://i.scdn.co/image/ab67616d0000b273fc41f00a5aa81b288e15a99e
Fuck Love,Real Boss,2022-03-15,40,162905,single,https://i.scdn.co/image/ab67616d0000b27366b43c623661b09087895ea4
Paagla,Akhil,2021-06-26,46,223783,single,https://i.scdn.co/image/ab67616d0000b273ea87a23a8b8c939acceb5a35
Punjab Bolda,Ranjit Bawa,2020-12-08,35,307788,single,https://i.scdn.co/image/ab67616d0000b2731bdf59d464c4243a81a22414
Kasam,Hashmat Sultana,2022-06-29,36,230522,compilation,https://i.scdn.co/image/ab67616d0000b2733a8be0cae8dd8c150c626d2d
Heerey,Amrinder Gill,2016-03-07,44,204978,album,https://i.scdn.co/image/ab67616d0000b2739402b44bc7bdff9dfa8122d9
"Rabb Khair Kare (From ""Daana Paani"" Soundtrack)",Prabh Gill,2018-04-19,46,184000,single,https://i.scdn.co/image/ab67616d0000b2735c30005b07efd927287a1bea
Ishqaa,Akhil,2019-02-13,35,321004,album,https://i.scdn.co/image/ab67616d0000b273fdf60edf667e751276524fde
Pyar Paun to Pehlan,Labh Heera,2020-07-18,37,256765,album,https://i.scdn.co/image/ab67616d0000b27303a6d19fa3b5e0f47b23f29c
Best Hindi Motivational Poetry 2022,Kumar Rishi,2022-03-07,32,109898,single,https://i.scdn.co/image/ab67616d0000b27330e5ad50fda0ab24af437a77
Relation,Nikk,2019-08-30,46,165750,single,https://i.scdn.co/image/ab67616d0000b27353f89966a4fca501360b384e
"Koi Vi Nahi,Dasi Na Mere Bare,Zindagi,Choorhey wali bah",Shirley Setia,2020-02-05,33,434000,single,https://i.scdn.co/image/ab67616d0000b2738662dd7d918afbc3c9bd178d
Udaarian,Satinder Sartaaj,2019-12-20,31,342648,compilation,https://i.scdn.co/image/ab67616d0000b273ae86cf278f97a3e3352bab12
"Kahani (From ""Kahani"")",Lo Jill,2014-04-24,11,194595,compilation,https://i.scdn.co/image/ab67616d0000b273ce9ec0de8ce8721afa7a5a4c
Kaash,Nachhatar Gill,2019-12-20,19,213829,compilation,https://i.scdn.co/image/ab67616d0000b273ae86cf278f97a3e3352bab12
True Love,Rupal J,2019-12-20,11,274311,compilation,https://i.scdn.co/image/ab67616d0000b273ae86cf278f97a3e3352bab12
Mob N Love,Prem Dhillon,2022-04-17,42,202422,single,https://i.scdn.co/image/ab67616d0000b27351d1e7adbf74abce9795fff6
Punjabi Valentine Mashup 2022,Sukh-E Muzical Doctorz,2022-02-14,36,290986,single,https://i.scdn.co/image/ab67616d0000b273bea487790d872591411addfb
In Love Again,Harman Hundal,2021-02-19,54,236129,single,https://i.scdn.co/image/ab67616d0000b273e08201655340ee940826f336
"Zubaan (From ""Manje Bistre 2"")",Ricky Khan,2019-12-20,18,266866,compilation,https://i.scdn.co/image/ab67616d0000b273ae86cf278f97a3e3352bab12
Silent Love,Davy,2022-01-02,33,152307,single,https://i.scdn.co/image/ab67616d0000b273f61e9c48d60761414096d761
Silent Love,Namr Gill,2015-03-17,44,266370,single,https://i.scdn.co/image/ab67616d0000b273ef3a03b0fdf24c33d5ca7983
Zindagi,Amrinder Gill,2016-03-07,45,170666,album,https://i.scdn.co/image/ab67616d0000b2739402b44bc7bdff9dfa8122d9
